genre,tag,genre number,name,seg,nopunc,focal,compare,stopwords,delimiters,max_cost,120,10,5,2,1,sentence
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,2275,939,559,249,123,1130
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,2731,579,317,138,56,1228
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,95,40,22,14,12,32
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,1614,431,252,122,65,505
G10,Classics,08,jiaoshiyilin,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,324,42,29,12,7,124
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,5,2,2,2,1,2
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,91,26,18,11,7,53
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,7,2,2,1,1,0
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,764,201,104,40,19,473
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,70,33,23,15,5,41
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,365,81,47,19,10,232
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,57,13,10,3,2,23
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,58,10,5,4,2,29
G10,Classics,09,jingshiyizhuan,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,51,7,6,1,0,21
G10,Classics,10,shishuo,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,10,shishuo,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,35,4,2,2,2,12
G10,Classics,10,shishuo,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,10,shishuo,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,10,shishuo,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,352,143,95,49,26,205
G10,Classics,10,shishuo,seg,nopunc,reduced_gods,ubc_cognition,stopwords,delimiters,120,42,20,11,7,3,30
G10,Classics,10,shishuo,seg,nopunc,reduced_gods,ubc_morality,stopwords,delimiters,120,87,11,6,2,1,58
G10,Classics,10,shishuo,seg,nopunc,reduced_gods,ubc_emotion,stopwords,delimiters,120,23,0,0,0,0,22
G10,Classics,10,shishuo,seg,nopunc,reduced_deity,reduced_reward,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,10,shishuo,seg,nopunc,reduced_deity,ubc_morality,stopwords,delimiters,120,0,0,0,0,0,0
G10,Classics,10,shishuo,seg,nopunc,reduced_gods,reduced_punishment,stopwords,delimiters,120,9,0,0,0,0,2
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_deity,ubc_cognition,stopwords,delimiters,120,104,6,3,0,0,61
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_gods,reduced_reward,stopwords,delimiters,120,14,3,2,2,1,9
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_deity,ubc_religion,stopwords,delimiters,120,2177,486,252,90,50,1103
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_deity,ubc_emotion,stopwords,delimiters,120,151,96,69,35,13,57
G11,Etymology,01,shuowenjiezi,seg,nopunc,reduced_gods,ubc_religion,stopwords,delimiters,120,598,229,140,75,46,329
